index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Private Or Public,Industry,Sector,Revenue,Competitors
120,Data Scientist,$99K-$132K ,4.5,"TACG Solutions
4.5","Dayton, OH","Beavercreek, OH",51 to 200 employees,2006,Company - Private, Private,Consulting,Business Services,Unknown / Non-Applicable,"Copper River Shared Services, Chenega Corporation, Deloitte"
121,Senior Data Engineer,$99K-$132K ,4.7,"Scoop
4.7","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,None
122,Senior Data Scientist,$99K-$132K ,4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
123,Data Engineer,$99K-$132K ,4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public, Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias"
124,Business Intelligence Analyst,$99K-$132K ,3.4,"Montway Inc
3.4","Schaumburg, IL","Schaumburg, IL",51 to 200 employees,2006,Company - Private, Private,Shipping,Transportation & Logistics,Unknown / Non-Applicable,None
125,Sr. ML/Data Scientist - AI/NLP/Chatbot,$99K-$132K ,3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public, Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),None
126,Data Scientist,$90K-$109K ,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions"
127,Data Scientist,$90K-$109K ,3.6,"XSELL Technologies
3.6","Chicago, IL","Chicago, IL",51 to 200 employees,2014,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
128,Data Engineer,$90K-$109K ,4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public, Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias"
129,Sr. ML/Data Scientist - AI/NLP/Chatbot,$90K-$109K ,3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public, Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),None
130,Data Scientist,$90K-$109K ,5,"Notion Labs
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,2016,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
131,Senior Data Engineer,$90K-$109K ,4.9,"Lendio
4.9","Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private, Private,Lending,Finance,$50 to $100 million (USD),None
132,Data Engineer,$90K-$109K ,4.4,"Direct Agents
4.4","Culver City, CA","New York, NY",51 to 200 employees,2003,Company - Private, Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),None
133,Data Scientist,$90K-$109K ,3.3,"NAVEX Global
3.3","Lake Oswego, OR","Lake Oswego, OR",1001 to 5000 employees,2012,Company - Private, Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),None
134,Machine Learning Engineer,$90K-$109K ,3.2,"Triplebyte
3.2",Remote,"San Francisco, CA",51 to 200 employees,2015,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
135,Machine Learning Engineer,$90K-$109K ,3.2,"Triplebyte
3.2",Remote,"San Francisco, CA",51 to 200 employees,2015,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
136,Senior Data Engineer,$90K-$109K ,4.9,"Lendio
4.9","Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private, Private,Lending,Finance,$50 to $100 million (USD),None
137,Data Scientist,$90K-$109K ,4.2,"Upstart
4.2","San Mateo, CA","San Mateo, CA",201 to 500 employees,2012,Company - Private, Private,Lending,Finance,Unknown / Non-Applicable,None
138,Data Analyst,$90K-$109K ,4.5,"Envision LLC
4.5","San Francisco, CA","Saint Louis, MO",201 to 500 employees,1994,Company - Private, Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),None
139,Data Engineer,$90K-$109K ,4.8,"AppLovin
4.8","Palo Alto, CA","Palo Alto, CA",201 to 500 employees,2012,Company - Private, Private,Video Games,Media,Unknown / Non-Applicable,None
140,Data Integration and Modeling Engineer,$90K-$109K ,3.8,"ISO New England
3.8","Holyoke, MA","Holyoke, MA",501 to 1000 employees,1997,Nonprofit Organization,Non Profit,Utilities,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,None
141,Tableau Data Engineer 20-0117,$90K-$109K ,3.7,"Relativity
3.7","Chicago, IL","Chicago, IL",1001 to 5000 employees,2001,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
142,Senior Data Scientist,$90K-$109K ,3.3,"Tempo Automation
3.3","San Francisco, CA","San Francisco, CA",51 to 200 employees,2013,Company - Private, Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),None
143,AI Data Scientist,$90K-$109K ,3.3,"MITRE
3.3","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Non Profit,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC"
144,Machine Learning Engineer,$90K-$109K ,5,"Expedition Technology, Inc.
5.0","Herndon, VA","Dulles, VA",1 to 50 employees,2013,Company - Private, Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),None
145,Research Scientist Patient Preferences (Remote),$90K-$109K ,3.8,"Evidera
3.8","Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Non Profit,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON"
146,Data Scientist,$90K-$109K ,3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private, Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance"
147,Scientist - Biomarker and Flow Cytometry,$90K-$109K ,2.4,"Crown Bioscience
2.4","San Diego, CA","San Diego, CA",501 to 1000 employees,2006,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),None
148,Data Scientist,$90K-$109K ,2.9,"GNS Healthcare
2.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),None
149,Analytics Manager,$90K-$109K ,4.4,"OneMagnify
4.4","Dearborn, MI","Detroit, MI",201 to 500 employees,1967,Company - Private, Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,None
150,Data Scientist,$90K-$109K ,2.9,"SPECTRUM
2.9","Maryland Heights, MO","Stamford, CT",10000+ employees,2016,Subsidiary or Business Segment,Non Profit,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),None
151,Staff Scientist- Upstream PD,$90K-$109K ,2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD","Rockville, MD",201 to 500 employees,1961,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),None
152,Data Engineer,$90K-$109K ,4.2,"Procore Technologies
4.2","Carpinteria, CA","Carpinteria, CA",1001 to 5000 employees,2002,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
153,Sr Scientist - Extractables & Leachables,$90K-$109K ,3.5,"Ritedose
3.5","Columbia, SC","Columbia, SC",201 to 500 employees,1995,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),None
154,ELISA RESEARCH SCIENTIST (CV-15),$90K-$109K ,0,CovidNone9 Search Partners,"Hauppauge, NY",None,None,None,None,1,None,None,None,None
155,Sr Data Scientist,$90K-$109K ,4.2,"bioMérieux
4.2","Saint Louis, MO","Marcy-l'Etoile, France",10000+ employees,1963,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),None
156,Data Scientist,$101K-$165K ,4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
157,Experienced Data Scientist,$101K-$165K ,4.4,"Guzman & Griffin Technologies (GGTI)
4.4","Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,Company - Private, Private,Federal Agencies,Government,Unknown / Non-Applicable,None
158,Machine Learning Engineer,$101K-$165K ,0,Radical Convergence,"Reston, VA",None,None,None,None,1,None,None,None,None
159,Data Scientist,$101K-$165K ,3.5,"Leidos
3.5","Fort Meade, MD","Reston, VA",10000+ employees,1969,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),None
160,Data Scientist,$101K-$165K ,4.5,"Demandbase
4.5","San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private, Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Engagio, Bombora, Terminus"
161,Say Business Data Analyst,$101K-$165K ,4.1,"Shelter Insurance
4.1","Columbia, MO","Columbia, MO",1001 to 5000 employees,1946,Company - Private, Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),None
162,Geospatial Data Scientist,$101K-$165K ,3.5,"Maxar Technologies
3.5","Chantilly, VA","Westminster, CO",5001 to 10000 employees,None,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),None
163,Data Analyst,$101K-$165K ,2.7,"USAC
2.7","Washington, DC","Washington, DC",501 to 1000 employees,1997,Nonprofit Organization,Non Profit,Telecommunications Services,Telecommunications,$25 to $50 million (USD),None
164,Computational Scientist,$101K-$165K ,3.4,"General Dynamics Information Technology
3.4","Vicksburg, MS","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,Non Profit,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman"
165,Data Scientist,$101K-$165K ,4.4,"Offerpad
4.4","Chandler, AZ","Chandler, AZ",201 to 500 employees,2015,Company - Private, Private,Real Estate,Real Estate,Unknown / Non-Applicable,None
166,Senior Data Analyst,$101K-$165K ,4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public, Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),None
167,Senior Data Analyst,$101K-$165K ,4.2,"Autodesk
4.0","San Francisco, CA","Herndon, VA",5001 to 10000 employees,1968,Company - Public, Public,Research & Development,Business Services,$1 to $2 billion (USD),None
168,Data Engineer,$101K-$165K ,3.5,"Magna International Inc.
3.5","Birmingham, AL","Aurora, Canada",10000+ employees,1957,Company - Public, Public,None,None,$10+ billion (USD),"Bosch, Lear Corporation, Faurecia"
169,Sr Data Analyst,$101K-$165K ,2.3,"United BioSource
2.3","Blue Bell, PA","Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Non Profit,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covance, ICON"
170,Data Scientist,$101K-$165K ,3.4,"Kelly
3.4","Chicago, IL","Troy, MI",5001 to 10000 employees,1946,Company - Public, Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),"Adecco, ManpowerGroup, Allegis Corporation"
171,"Machine Learning Scientist - Bay Area, CA",$101K-$165K ,3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
172,Data Scientist,$101K-$165K ,4.7,"C3.ai
4.7","Redwood City, CA","Redwood City, CA",201 to 500 employees,2009,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"GE Digital, Palantir Technologies, Uptake"
173,Senior Data Scientist - Algorithms,$101K-$165K ,3.9,"Quartet Health
3.9","New York, NY","New York, NY",201 to 500 employees,2014,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
174,Data Analyst,$101K-$165K ,3.3,"Midland Credit Management
3.3","San Diego, CA","San Diego, CA",1001 to 5000 employees,1953,Subsidiary or Business Segment,Non Profit,Banks & Credit Unions,Finance,$1 to $2 billion (USD),PRA Group
175,Senior Data & Machine Learning Scientist,$101K-$165K ,3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
176,Data Engineer,$101K-$165K ,4.4,"Resurgent Capital Services
4.4","Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private, Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),None
177,"Data Scientist - Statistics, Early Career",$56K-$97K ,3.7,"PNNL
3.7","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Non Profit,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
178,Data Scientist,$56K-$97K ,3.5,"Buckman
3.5","Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,Company - Private, Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),None
179,Machine Learning Engineer,$56K-$97K ,3.6,"Buckman
3.5","Memphis, TN","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Non Profit,Federal Agencies,Government,$50 to $100 million (USD),None
180,Research Scientist - Patient-Centered Research (Remote),$56K-$97K ,3.8,"Evidera
3.8","Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Non Profit,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON"
181,Jr. Business Data Analyst (position added 6/12/2020),$56K-$97K ,4.7,"webfx.com
4.7","Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private, Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),None
182,Sr. Data Scientist II,$56K-$97K ,3.5,"Argo Group US
3.5","New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public, Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),None
183,Data Scientist,$56K-$97K ,3.3,"BWX Technologies
3.3","Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),None
184,Senior Data Analyst,$56K-$97K ,3.9,"Life360
3.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public, Public,Internet,Information Technology,Unknown / Non-Applicable,None
185,Lead Data Scientist,$56K-$97K ,3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private, Private,Insurance Carriers,Insurance,$10+ billion (USD),None
186,Production Engineer - Statistics/Data Analysis,$56K-$97K ,3.9,"Natera
3.9","San Carlos, CA","San Carlos, CA",501 to 1000 employees,2004,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Genomic Health, 23andMe, Illumina"
187,Statistical Scientist,$56K-$97K ,4,"Genentech
4.0","South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Non Profit,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),None
188,Computational Behavioral Scientist,$56K-$97K ,4.2,"Ntrepid
4.2","Herndon, VA","Herndon, VA",201 to 500 employees,2010,Company - Private, Private,IT Services,Information Technology,$50 to $100 million (USD),"Bromium, FireEye, Authentic8"
189,Principal Data Scientist - Machine Learning,$56K-$97K ,3.6,"Constant Contact
3.6","Waltham, MA","Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Non Profit,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Drip, iContact, Mailchimp"
190,Principal Machine Learning Scientist,$56K-$97K ,4.7,"Sage Intacct
4.7","San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Non Profit,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
191,Data Engineer,$56K-$97K ,4.1,"Shape Security
4.1","Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private, Private,IT Services,Information Technology,Unknown / Non-Applicable,None
192,Principal Data Scientist,$56K-$97K ,4,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
193,Data Scientist,$56K-$97K ,5,"SkillSoniq
5.0","San Francisco, CA","Jersey City, NJ",Unknown,None,Company - Public, Public,None,None,Unknown / Non-Applicable,None
194,Senior Data Scientist - R&D Oncology,$56K-$97K ,4,"AstraZeneca
4.0","New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
195,Data Scientist,$56K-$97K ,4.3,"Joby Aviation
4.3","San Carlos, CA","Santa Cruz, CA",51 to 200 employees,None,Company - Private, Private,None,None,Unknown / Non-Applicable,None
196,"Health Plan Data Analyst, Sr",$56K-$97K ,3.8,"Cook Children's Health Care System
3.8","Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Non Profit,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Children's Health, Texas Health Resources, Baylor Scott & White Health"
197,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",$56K-$97K ,3.8,"Rubius Therapeutics
3.8","Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),None
198,Analytics - Business Assurance Data Analyst,$56K-$97K ,4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private, Private,Lending,Finance,$100 to $500 million (USD),None
199,Data Scientist - Contract,$79K-$106K ,4.1,"Upside Business Travel
4.1",Remote,"Washington, DC",51 to 200 employees,2015,Company - Private, Private,Internet,Information Technology,Unknown / Non-Applicable,None
200,Data Scientist,$79K-$106K ,3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private, Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),None
201,Data Scientist,$79K-$106K ,4.1,"Coverent
4.1","McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private, Private,Consulting,Business Services,$10 to $25 million (USD),None
202,Machine Learning Engineer,$79K-$106K ,3.7,"Mteq
3.7","Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek"
203,Data Engineer,$79K-$106K ,4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private, Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),None
204,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$79K-$106K ,3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),None
205,Data Engineer,$79K-$106K ,3.6,"Alion Science & Technology
3.6","Linthicum Heights, MD","Mc Lean, VA",1001 to 5000 employees,2001,Company - Private, Private,Research & Development,Business Services,$1 to $2 billion (USD),None
206,Data Science Instructor,$79K-$106K ,4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
207,Senior Business Intelligence Analyst,$79K-$106K ,3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public, Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),None
208,In-Line Inspection Data Analyst,$79K-$106K ,2.9,"Quest Integrity
2.9","Tulsa, OK","Kent, WA",201 to 500 employees,1996,Company - Public, Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),None
209,Data Scientist - TS/SCI FSP or CI Required,$79K-$106K ,5,"Phoenix Operations Group
5.0","Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private, Private,IT Services,Information Technology,$1 to $5 million (USD),None
210,Data Scientist,$79K-$106K ,3.4,"Dice.com
3.4","Newton, MA","Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Non Profit,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Monster Worldwide, CareerBuilder, Craigslist"
211,Senior Data Scientist,$79K-$106K ,3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,None,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),None
212,Data Scientist - TS/SCI Required,$79K-$106K ,5,"Phoenix Operations Group
5.0","Baltimore, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private, Private,IT Services,Information Technology,$1 to $5 million (USD),None
213,Data Science Software Engineer,$79K-$106K ,4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
214,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,$79K-$106K ,3.9,"Southwest Research Institute
3.9","Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Non Profit,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International"
215,AI Ops Data Scientist,$79K-$106K ,4,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
216,"Intelligence Data Analyst, Senior",$79K-$106K ,4.3,"The Buffalo Group
4.3","Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private, Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos"
217,Analytics Manager - Data Mart,$79K-$106K ,3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Non Profit,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),None
218,Data Modeler (Analytical Systems),$79K-$106K ,3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private, Private,Insurance Carriers,Insurance,$10+ billion (USD),None
219,"Senior Machine Learning Scientist - Bay Area, CA",$79K-$106K ,3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private, Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,None
220,Report Writer-Data Analyst,$79K-$106K ,3.1,"Security Finance Corporation of Spartanburg
3.1","Spartanburg, SC","Spartanburg, SC",1001 to 5000 employees,1955,Company - Private, Private,Lending,Finance,Unknown / Non-Applicable,None
221,Data Scientist/Machine Learning,$71K-$123K ,4.3,"PulsePoint
4.3","New York, NY","New York, NY",51 to 200 employees,2011,Company - Private, Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk"
222,Data Scientist - Risk,$71K-$123K ,4.2,"LSQ
4.2","Orlando, FL","Orlando, FL",51 to 200 employees,1996,Company - Private, Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),None
223,Data Engineer,$71K-$123K ,4.4,"Resurgent Capital Services
4.4","Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private, Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),None
224,Staff Data Scientist - Pricing,$71K-$123K ,3.6,"Opendoor
3.6","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2014,Company - Private, Private,Real Estate,Real Estate,$2 to $5 billion (USD),None
225,Data Scientist,$71K-$123K ,4.5,"Global Data Management Inc
4.5","Hartford, CT","Woodbridge, NJ",51 to 200 employees,2008,Company - Private, Private,IT Services,Information Technology,$5 to $10 million (USD),None
226,Data Scientist,$71K-$123K ,3,"Photon Infotech
3.0","Chicago, IL","Chennai, India",1001 to 5000 employees,1999,Company - Private, Private,IT Services,Information Technology,$100 to $500 million (USD),None
227,Data Scientist,$71K-$123K ,5,"REE
5.0",United States,"Tel Aviv-Yafo, Israel",51 to 200 employees,2018,Company - Private, Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,None
228,Machine Learning Engineer,$71K-$123K ,3.6,"Riverside Research Institute
3.6","Beavercreek, OH","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Non Profit,Federal Agencies,Government,$50 to $100 million (USD),None
229,Equity Data Insights Analyst - Quantitative Analyst,$71K-$123K ,3.6,"T. Rowe Price
3.6","Baltimore, MD","Baltimore, MD",5001 to 10000 employees,1937,Company - Public, Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),None
230,Data Scientist,$71K-$123K ,0,"Encode, Inc.","Norfolk, VA","Manalapan, NJ",1 to 50 employees,None,Company - Private, Private,IT Services,Information Technology,$5 to $10 million (USD),None
231,Research Scientist - Patient-Centered Research (Remote),$71K-$123K ,3.8,"Evidera
3.8","Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Non Profit,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON"
232,Data Scientist,$71K-$123K ,3.3,"BWX Technologies
3.3","Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,Company - Public, Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),None
233,Operations Data Analyst,$71K-$123K ,3.8,"Brighthouse Financial
3.8","Charlotte, NC","Charlotte, NC",1001 to 5000 employees,2017,Company - Public, Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,None
234,Sr. Data Scientist II,$71K-$123K ,3.5,"Argo Group US
3.5","New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public, Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),None
235,Data Scientist,$71K-$123K ,3.3,"II-VI Incorporated
3.3","Champaign, IL","Saxonburg, PA",10000+ employees,1971,Company - Public, Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion (USD),"Lumentum Operations, Keysight Technologies, O-Net Technologies"
236,Data Scientist,$71K-$123K ,4.6,"Surya Systems
4.6","San Francisco, CA","Bristol, PA",1 to 50 employees,None,Company - Private, Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),None
237,Data Scientist,$71K-$123K ,3.8,"PayPal
3.8",Texas,"San Jose, CA",10000+ employees,1998,Company - Public, Public,Internet,Information Technology,$10+ billion (USD),"Square, Amazon, Apple"
238,Senior Data Analyst,$71K-$123K ,3.9,"Life360
3.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public, Public,Internet,Information Technology,Unknown / Non-Applicable,None
239,Data Scientist,$71K-$123K ,3.9,"Predictive Research Inc
3.9","Plano, TX","Bangalore, India",1 to 50 employees,None,Company - Private, Private,Consulting,Business Services,Unknown / Non-Applicable,None
